"Rnd","Dato","TV","Kamp","hjemme","ude","Res","Tilskuere","Dommer","Dato_num","dag","måned","år_start","år_slut","år","match_date","sæson","kickoff","holiday_name","is_holiday","weekday_num","dagstype","kickoff_hour","kamp_tid","regn_1h_for","regn_dag","temp_kamp","vind_1h","vindstød_1h","skydække_kamp","regn_1h_kat","regn_dag_kat","temp_kamp_kat","vind_1h_kat","vindstød_1h_kat","skydække_kamp_kat","dato_index"
1,21.07,NA,"VFF - BIF","VFF","BIF","3 - 3",7.658,"Lasse LÃ¦bel Graagaard",21.07,21,7,2024,2025,2024,2024-07-21,"2024/2025",2024-07-21 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,26.0857142857143,3.85,6.45,87.8571428571429,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2024-07-21
4,12.08,NA,"VFF - AaB","VFF","AaB","2 - 3",6.852,"Mads Kristoffersen",12.08,12,8,2024,2025,2024,2024-08-12,"2024/2025",2024-08-12 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,22.1428571428571,1.55,4.6,0,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2024-08-12
6,26.08,NA,"VFF - LBK","VFF","LBK","1 - 0",5.816,"Jakob Kehlet",26.08,26,8,2024,2025,2024,2024-08-26,"2024/2025",2024-08-26 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,18.0428571428571,5.4,8.8,32.8571428571429,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2024-08-26
9,20.09,NA,"VFF - FCN","VFF","FCN","3 - 2",6.29,"Sandi Putros",20.09,20,9,2024,2025,2024,2024-09-20,"2024/2025",2024-09-20 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,18.7428571428571,2.6,4.1,0,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2024-09-20
11,6.1,NA,"VFF - AGF","VFF","AGF","1 - 1",8.351,"Mikkel Redder",6.1,6,10,2024,2025,2024,2024-10-06,"2024/2025",2024-10-06 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,13.3142857142857,3.35,6.45,92.8571428571429,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Overskyet",2024-10-06
13,27.1,NA,"VFF - SJF","VFF","SJF","4 - 2",6.227,"Aydin Uslu",27.1,27,10,2024,2025,2024,2024-10-27,"2024/2025",2024-10-27 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,2,10.6428571428571,6.7,10.55,37.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2024-10-27
15,10.11,NA,"VFF - FCM","VFF","FCM","1 - 0",8.513,"Sandi Putros",10.11,10,11,2024,2025,2024,2024-11-10,"2024/2025",2024-11-10 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0.2,5.21428571428571,1.25,3.1,95.7142857142857,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød","Overskyet",2024-11-10
17,1.12,NA,"VFF - RFC","VFF","RFC","1 - 2",5.681,"Jens Maae",1.12,1,12,2024,2025,2024,2024-12-01,"2024/2025",2024-12-01 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,6.88571428571429,3.35,5.95,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2024-12-01
19,24.02,NA,"VFF - SIF","VFF","SIF","1 - 4",5.208,"Michael Tykgaard",24.02,24,2,2024,2025,2025,2025-02-24,"2024/2025",2025-02-24 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",1,0,7.82857142857143,4.6,8.5,100,"Let regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2025-02-24
20,2.03,NA,"VFF - VB","VFF","VB","3 - 1",5.346,"Mikkel Redder",2.03,2,3,2024,2025,2025,2025-03-02,"2024/2025",2025-03-02 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,9.07142857142857,7.45,12.65,65,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2025-03-02
22,16.03,NA,"VFF - FCK","VFF","FCK","3 - 2",7.75,"Jakob Kehlet",16.03,16,3,2024,2025,2025,2025-03-16,"2024/2025",2025-03-16 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0,0,7.37142857142857,8,13.15,85.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2025-03-16
24,6.04,NA,"VFF - SJF","VFF","SJF","2 - 1",6.265,"Sandi Putros",6.04,6,4,2024,2025,2025,2025-04-06,"2024/2025",2025-04-06 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,9.91428571428571,1.8,6.2,6.42857142857143,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2025-04-06
25,13.04,NA,"VFF - SIF","VFF","SIF","2 - 1",6.002,"Mikkel Redder",13.04,13,4,2024,2025,2025,2025-04-13,"2024/2025",2025-04-13 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,14,4.35,9,91.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2025-04-13
27,21.04,NA,"VFF - LBK","VFF","LBK","1 - 1",5.536,"Mads Kristoffersen",21.04,21,4,2024,2025,2025,2025-04-21,"2024/2025",2025-04-21 14:00:00,"2. Påskedag",TRUE,1,"Hverdag",14,"Eftermiddag",0,0,8.54285714285714,3.6,5.65,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2025-04-21
30,11.05,NA,"VFF - AaB","VFF","AaB","3 - 1",5.678,"Jonas Hansen",11.05,11,5,2024,2025,2025,2025-05-11,"2024/2025",2025-05-11 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,17.4142857142857,3.85,8.25,37.1428571428571,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Mellem vindstød","Let overskyet",2025-05-11
31,18.05,NA,"VFF - VB","VFF","VB","0 - 1",6.136,"Aydin Uslu",18.05,18,5,2024,2025,2025,2025-05-18,"2024/2025",2025-05-18 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,16.9142857142857,6.2,10.8,70.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2025-05-18
2,28.07,NA,"VFF - LBK","VFF","LBK","2 - 2",4.485,"Lasse LÃ¦bel Graagaard",28.07,28,7,2023,2024,2023,2023-07-28,"2023/2024",2023-07-28 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,21.2857142857143,2.6,5.1,15.7142857142857,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2023-07-28
4,14.08,NA,"VFF - HIF","VFF","HIF","0 - 0",6.141,"Peter KjÃ¦rsgaard",14.08,14,8,2023,2024,2023,2023-08-14,"2023/2024",2023-08-14 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,21.7857142857143,3.6,7.2,61.4285714285714,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Let overskyet",2023-08-14
5,21.08,NA,"VFF - VB","VFF","VB","2 - 1",6.01,"Jakob Kehlet",21.08,21,8,2023,2024,2023,2023-08-21,"2023/2024",2023-08-21 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,21.1571428571429,4.85,7.2,2.85714285714286,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Let vindstød","Solrigt",2023-08-21
8,15.09,NA,"VFF - FCM","VFF","FCM","2 - 2",8.663,"Aydin Uslu",15.09,15,9,2023,2024,2023,2023-09-15,"2023/2024",2023-09-15 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,17.8714285714286,2.6,4.9,6.42857142857143,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2023-09-15
10,1.1,NA,"VFF - AGF","VFF","AGF","2 - 1",7.244,"Jacob Karlsen",1.1,1,10,2023,2024,2023,2023-10-01,"2023/2024",2023-10-01 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0.2,14.2714285714286,2.6,4.6,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Overskyet",2023-10-01
12,22.1,NA,"VFF - FCN","VFF","FCN","0 - 2",5.354,"Morten Krogh",22.1,22,10,2023,2024,2023,2023-10-22,"2023/2024",2023-10-22 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,11.3571428571429,2.85,5.95,100,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Overskyet",2023-10-22
14,5.11,NA,"VFF - SIF","VFF","SIF","2 - 1",5.65,"Lasse LÃ¦bel Graagaard",5.11,5,11,2023,2024,2023,2023-11-05,"2023/2024",2023-11-05 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,1.5,9.92857142857143,2.35,5.15,92.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød","Overskyet",2023-11-05
16,25.11,NA,"VFF - FCK","VFF","FCK","2 - 1",6.661,"Jakob Kehlet",25.11,25,11,2023,2024,2023,2023-11-25,"2023/2024",2023-11-25 19:00:00,"Ingen",FALSE,6,"Weekend",19,"Aften",0,0,0.114285714285714,2.6,5.15,80.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2023-11-25
18,16.02,NA,"VFF - OB","VFF","OB","1 - 2",5.774,"Jens Maae",16.02,16,2,2023,2024,2024,2024-02-16,"2023/2024",2024-02-16 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,1.1,6.21428571428571,6.45,11.3,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2024-02-16
20,3.03,NA,"VFF - RFC","VFF","RFC","3 - 0",6.557,"Antoniou Menelaos",3.03,3,3,2023,2024,2024,2024-03-03,"2023/2024",2024-03-03 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,7.58571428571429,6.2,9.25,100,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2024-03-03
21,10.03,NA,"VFF - BIF","VFF","BIF","1 - 2",7.876,"Mikkel Redder",10.03,10,3,2023,2024,2024,2024-03-10,"2023/2024",2024-03-10 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,3.01428571428571,7.7,11.85,97.1428571428571,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2024-03-10
23,31.03,NA,"VFF - HIF","VFF","HIF","3 - 1",5.405,"Peter KjÃ¦rsgaard",31.03,31,3,2023,2024,2024,2024-03-31,"2023/2024",2024-03-31 16:00:00,"Påskedag",TRUE,7,"Weekend",16,"Eftermiddag",0,0,8.77142857142857,1.8,3.35,87.8571428571429,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2024-03-31
26,21.04,NA,"VFF - LBK","VFF","LBK","2 - 1",6.713,"Jakob Kehlet",21.04,21,4,2023,2024,2024,2024-04-21,"2023/2024",2024-04-21 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,9.38571428571429,4.6,9,71.4285714285714,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2024-04-21
27,28.04,NA,"VFF - RFC","VFF","RFC","0 - 0",6.826,"Jacob Karlsen",28.04,28,4,2023,2024,2024,2024-04-28,"2023/2024",2024-04-28 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,19.8285714285714,6.7,12.1,59.2857142857143,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2024-04-28
29,12.05,NA,"VFF - VB","VFF","VB","1 - 2",6.107,"JÃ¸rgen Daugbjerg",12.05,12,5,2023,2024,2024,2024-05-12,"2023/2024",2024-05-12 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.5714285714286,4.6,8,4.28571428571429,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2024-05-12
32,25.05,NA,"VFF - OB","VFF","OB","2 - 1",6.465,"Jacob Karlsen",25.05,25,5,2023,2024,2024,2024-05-25,"2023/2024",2024-05-25 15:00:00,"Ingen",FALSE,6,"Weekend",15,"Eftermiddag",0,0,19.2714285714286,3.6,6.95,90,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2024-05-25
1,17.07,NA,"VFF - AaB","VFF","AaB","2 - 1",4.681,"Mads Kristoffersen",17.07,17,7,2022,2023,2022,2022-07-17,"2022/2023",2022-07-17 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.9428571428571,6.45,9.55,78.5714285714286,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Overskyet",2022-07-17
3,31.07,NA,"VFF - FCK","VFF","FCK","4 - 2",6.064,"Jonas Hansen",31.07,31,7,2022,2023,2022,2022-07-31,"2022/2023",2022-07-31 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,18.9571428571429,3.6,7.25,100,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2022-07-31
5,14.08,NA,"VFF - SIF","VFF","SIF","2 - 0",5.806,"Michael Tykgaard",14.08,14,8,2022,2023,2022,2022-08-14,"2022/2023",2022-08-14 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,28.1857142857143,4.6,7.7,80,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Let vindstød","Overskyet",2022-08-14
7,28.08,NA,"VFF - LBK","VFF","LBK","2 - 1",3.491,"Jakob Kehlet",28.08,28,8,2022,2023,2022,2022-08-28,"2022/2023",2022-08-28 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0.6,0.6,20.2571428571429,2.05,4.6,81.4285714285714,"Let regn før kamp","Lidt regn i løbet af dag","Varmt","Svag vind","Let vindstød","Overskyet",2022-08-28
9,12.09,NA,"VFF - ACH","VFF","ACH","2 - 1",4.067,"Mads Kristoffersen",12.09,12,9,2022,2023,2022,2022-09-12,"2022/2023",2022-09-12 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,17.8,4.35,9,91.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2022-09-12
10,18.09,NA,"VFF - BIF","VFF","BIF","0 - 0",8.632,"Jakob A. Sundberg",18.09,18,9,2022,2023,2022,2022-09-18,"2022/2023",2022-09-18 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0.4,0.6,13.3142857142857,4.9,9.25,83.5714285714286,"Let regn før kamp","Lidt regn i løbet af dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2022-09-18
13,16.1,NA,"VFF - OB","VFF","OB","0 - 0",4.909,"Sandi Putros",16.1,16,10,2022,2023,2022,2022-10-16,"2022/2023",2022-10-16 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,6.6,12.9857142857143,10.3,18,36.4285714285714,"Ingen regn før kamp","Våd dag","Mildt","Kraftig vind","Kraftige vindstød","Let overskyet",2022-10-16
16,6.11,NA,"VFF - AGF","VFF","AGF","1 - 1",7.399,"JÃ¸rgen Daugbjerg",6.11,6,11,2022,2023,2022,2022-11-06,"2022/2023",2022-11-06 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,1.2,12.6571428571429,3.35,6.45,72.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Overskyet",2022-11-06
18,20.02,NA,"VFF - FCM","VFF","FCM","0 - 4",7.218,"Jacob Karlsen",20.02,20,2,2022,2023,2023,2023-02-20,"2022/2023",2023-02-20 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,1,6.35714285714286,10.3,15.7,90,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Kraftig vind","Kraftige vindstød","Overskyet",2023-02-20
20,5.03,NA,"VFF - RFC","VFF","RFC","2 - 2",5.923,"Jakob Kehlet",5.03,5,3,2022,2023,2023,2023-03-05,"2022/2023",2023-03-05 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,2.85714285714286,3.6,7.45,0,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2023-03-05
21,12.03,NA,"VFF - FCN","VFF","FCN","1 - 1",5.934,"JÃ¸rgen Daugbjerg",12.03,12,3,2022,2023,2023,2023-03-12,"2022/2023",2023-03-12 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,2.04285714285714,4.85,9.3,95.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2023-03-12
24,9.04,NA,"VFF - AGF","VFF","AGF","0 - 1",7.533,"Aydin Uslu",9.04,9,4,2022,2023,2023,2023-04-09,"2022/2023",2023-04-09 16:00:00,"Påskedag",TRUE,7,"Weekend",16,"Eftermiddag",0,0,14.3142857142857,3.6,6.95,50.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Let overskyet",2023-04-09
26,23.04,NA,"VFF - FCN","VFF","FCN","1 - 0",5.966,"JÃ¸rgen Daugbjerg",23.04,23,4,2022,2023,2023,2023-04-23,"2022/2023",2023-04-23 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,12.8142857142857,4.6,8.2,66.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2023-04-23
27,30.04,NA,"VFF - RFC","VFF","RFC","3 - 1",6.542,"Jonas Hansen",30.04,30,4,2022,2023,2023,2023-04-30,"2022/2023",2023-04-30 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,8.68571428571429,5.1,9.25,90,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2023-04-30
30,21.05,NA,"VFF - BIF","VFF","BIF","1 - 1",9.342,"Peter KjÃ¦rsgaard",21.05,21,5,2022,2023,2023,2023-05-21,"2022/2023",2023-05-21 16:05:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,21.4166666666667,4.6,8.8,52.5,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2023-05-21
31,29.05,NA,"VFF - FCK","VFF","FCK","1 - 2",9.523,"Morten Krogh",29.05,29,5,2022,2023,2023,2023-05-29,"2022/2023",2023-05-29 16:00:00,"2. Pinsedag",TRUE,1,"Hverdag",16,"Eftermiddag",0,0,14.1142857142857,7.2,11.05,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2023-05-29
3,31.07,NA,"VFF - FCM","VFF","FCM","0 - 2",4.038,"Anders Poulsen",31.07,31,7,2021,2022,2021,2021-07-31,"2021/2022",2021-07-31 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",1,3.4,16.2428571428571,3.6,6.95,91.4285714285714,"Let regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Overskyet",2021-07-31
5,13.08,NA,"VFF - RFC","VFF","RFC","1 - 2",5.085,"Aydin Uslu",13.08,13,8,2021,2022,2021,2021-08-13,"2021/2022",2021-08-13 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,18.9,7.45,11.85,90,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Overskyet",2021-08-13
6,22.08,NA,"VFF - AGF","VFF","AGF","2 - 0",5.422,"Michael Tykgaard",22.08,22,8,2021,2022,2021,2021-08-22,"2021/2022",2021-08-22 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,20.3571428571429,4.1,7.45,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Let vindstød","Solrigt",2021-08-22
8,12.09,NA,"VFF - AaB","VFF","AaB","2 - 3",6.014,"Peter KjÃ¦rsgaard",12.09,12,9,2021,2022,2021,2021-09-12,"2021/2022",2021-09-12 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.5571428571429,7.95,12.4,61.4285714285714,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2021-09-12
10,26.09,NA,"VFF - OB","VFF","OB","1 - 1",3.963,"Jakob Kehlet",26.09,26,9,2021,2022,2021,2021-09-26,"2021/2022",2021-09-26 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.4571428571429,3.85,6.7,30.7142857142857,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Let overskyet",2021-09-26
12,15.1,NA,"VFF - SIF","VFF","SIF","1 - 1",5.286,"Peter KjÃ¦rsgaard",15.1,15,10,2021,2022,2021,2021-10-15,"2021/2022",2021-10-15 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,9.14285714285714,8.25,13.9,46.4285714285714,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2021-10-15
14,31.1,NA,"VFF - BIF","VFF","BIF","0 - 1",7.724,"JÃ¸rgen Daugbjerg",31.1,31,10,2021,2022,2021,2021-10-31,"2021/2022",2021-10-31 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,10.2571428571429,4.6,8.5,94.2857142857143,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2021-10-31
15,5.11,NA,"VFF - FCN","VFF","FCN","2 - 2",3.899,"Peter KjÃ¦rsgaard",5.11,5,11,2021,2022,2021,2021-11-05,"2021/2022",2021-11-05 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,8.64285714285714,4.85,8,72.1428571428571,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2021-11-05
17,28.11,NA,"VFF - SJF","VFF","SJF","1 - 1",4.031,"Anders Poulsen",28.11,28,11,2021,2022,2021,2021-11-28,"2021/2022",2021-11-28 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,2.47142857142857,1,2.35,100,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2021-11-28
19,27.02,NA,"VFF - FCK","VFF","FCK","0 - 2",7.025,"Jakob Kehlet",27.02,27,2,2021,2022,2022,2022-02-27,"2021/2022",2022-02-27 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,6.94285714285714,3.6,6.45,0,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2022-02-27
21,13.03,NA,"VFF - VB","VFF","VB","2 - 0",4.227,"Mikkel Redder",13.03,13,3,2021,2022,2022,2022-03-13,"2021/2022",2022-03-13 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,10,6.45,10.55,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2022-03-13
23,1.04,NA,"VFF - SJF","VFF","SJF","2 - 1",3.093,"JÃ¸rgen Daugbjerg",1.04,1,4,2021,2022,2022,2022-04-01,"2021/2022",2022-04-01 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,3.45714285714286,5.15,8.8,40.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Let overskyet",2022-04-01
26,17.04,NA,"VFF - OB","VFF","OB","1 - 1",3.857,"Aydin Uslu",17.04,17,4,2021,2022,2022,2022-04-17,"2021/2022",2022-04-17 18:00:00,"Påskedag",TRUE,7,"Weekend",18,"Aften",0,0,15.5285714285714,1.25,4.6,0,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2022-04-17
28,29.04,NA,"VFF - FCN","VFF","FCN","1 - 1",4.298,"Anders Poulsen",29.04,29,4,2021,2022,2022,2022-04-29,"2021/2022",2022-04-29 19:00:00,"Ingen",FALSE,5,"Hverdag",19,"Aften",0,0,11.2571428571429,5.95,9.55,1.42857142857143,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2022-04-29
29,9.05,NA,"VFF - VB","VFF","VB","2 - 2",3.649,"Jakob Kehlet",9.05,9,5,2021,2022,2022,2022-05-09,"2021/2022",2022-05-09 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,17.8571428571429,5.4,9.55,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2022-05-09
31,15.05,NA,"VFF - AGF","VFF","AGF","1 - 0",4.691,"Peter KjÃ¦rsgaard",15.05,15,5,2021,2022,2022,2022-05-15,"2021/2022",2022-05-15 20:00:00,"Ingen",FALSE,7,"Weekend",20,"Aften",0,0,13.7857142857143,3.85,7.5,0,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2022-05-15
