"Rnd","Dato","TV","Kamp","hjemme","ude","Res","Tilskuere","Dommer","Dato_num","dag","måned","år_start","år_slut","år","match_date","sæson","kickoff","holiday_name","is_holiday","weekday_num","dagstype","kickoff_hour","kamp_tid","regn_1h_for","regn_dag","temp_kamp","vind_1h","vindstød_1h","skydække_kamp","regn_1h_kat","regn_dag_kat","temp_kamp_kat","vind_1h_kat","vindstød_1h_kat","skydække_kamp_kat","dato_index"
1,15.07,NA,"VFF - FCN","VFF","FCN","0 - 4",2.58,"JÃ¸rgen Daugbjerg",15.07,15,7,2016,2017,2016,2016-07-15,"2016/2017",2016-07-15 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,15.7428571428571,8.25,13.65,95.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2016-07-15
3,29.07,NA,"VFF - EFB","VFF","EFB","2 - 1",2.929,"Morten Krogh",29.07,29,7,2016,2017,2016,2016-07-29,"2016/2017",2016-07-29 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,21.1,3.35,7.5,83.5714285714286,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2016-07-29
5,12.08,NA,"VFF - RFC","VFF","RFC","0 - 1",4.065,"Lars Christoffersen",12.08,12,8,2016,2017,2016,2016-08-12,"2016/2017",2016-08-12 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,2,17.5428571428571,6.45,11.55,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2016-08-12
7,28.08,NA,"VFF - FCM","VFF","FCM","0 - 0",6.043,"Dennis Mogensen",28.08,28,8,2016,2017,2016,2016-08-28,"2016/2017",2016-08-28 20:00:00,"Ingen",FALSE,7,"Weekend",20,"Aften",0,2.7,20.3571428571429,3.35,6.7,97.1428571428571,"Ingen regn før kamp","Lidt regn i løbet af dag","Varmt","Svag vind","Let vindstød","Overskyet",2016-08-28
8,10.09,NA,"VFF - ACH","VFF","ACH","2 - 4",3.096,"Michael Johansen",10.09,10,9,2016,2017,2016,2016-09-10,"2016/2017",2016-09-10 14:00:00,"Ingen",FALSE,6,"Weekend",14,"Eftermiddag",0,0,23.8571428571429,4.6,8.5,64.2857142857143,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Let overskyet",2016-09-10
11,25.09,NA,"VFF - LBK","VFF","LBK","0 - 1",3.126,"Peter Munch Larsen",25.09,25,9,2016,2017,2016,2016-09-25,"2016/2017",2016-09-25 12:00:00,"Ingen",FALSE,7,"Weekend",12,"Eftermiddag",0,0,20.5428571428571,5.4,9.75,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2016-09-25
12,2.1,NA,"VFF - FCK","VFF","FCK","0 - 0",4.137,"JÃ¸rgen Daugbjerg",2.1,2,10,2016,2017,2016,2016-10-02,"2016/2017",2016-10-02 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",1.1,2.6,12.6,3.1,6.65,100,"Let regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Overskyet",2016-10-02
14,21.1,NA,"VFF - SIF","VFF","SIF","1 - 3",3.31,"Peter KjÃ¦rsgaard",21.1,21,10,2016,2017,2016,2016-10-21,"2016/2017",2016-10-21 20:15:00,"Ingen",FALSE,5,"Hverdag",20,"Aften",0,1.7,7.5,4.6,7.7,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Let vindstød","Overskyet",2016-10-21
16,6.11,NA,"VFF - BIF","VFF","BIF","1 - 2",4.311,"Michael Tykgaard",6.11,6,11,2016,2017,2016,2016-11-06,"2016/2017",2016-11-06 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,1.7,2.67142857142857,9.05,15.15,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Kraftig vind","Kraftige vindstød","Overskyet",2016-11-06
18,26.11,NA,"VFF - SJF","VFF","SJF","2 - 2",1.74,"Peter KjÃ¦rsgaard",26.11,26,11,2016,2017,2016,2016-11-26,"2016/2017",2016-11-26 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",0,0.6,8.57142857142857,9.05,14.65,89.2857142857143,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Kraftig vind","Mellem vindstød","Overskyet",2016-11-26
21,12.12,NA,"VFF - OB","VFF","OB","1 - 1",2.71,"Jakob Kehlet",12.12,12,12,2016,2017,2016,2016-12-12,"2016/2017",2016-12-12 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,1.91428571428571,1.25,3.1,65.7142857142857,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Let overskyet",2016-12-12
23,27.02,NA,"VFF - AGF","VFF","AGF","1 - 1",3.112,"Morten Krogh",27.02,27,2,2016,2017,2017,2017-02-27,"2016/2017",2017-02-27 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0.6,3.7,7.54285714285714,3.6,7.45,100,"Let regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød","Overskyet",2017-02-27
26,19.03,NA,"VFF - AaB","VFF","AaB","2 - 1",5.501,"Michael Johansen",19.03,19,3,2016,2017,2017,2017-03-19,"2016/2017",2017-03-19 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0.7,3.9,2.64285714285714,5.4,10.3,100,"Let regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2017-03-19
27,2.04,NA,"VFF - AGF","VFF","AGF","2 - 4",5.749,"Mads Kristoffersen",2.04,2,4,2016,2017,2017,2017-04-02,"2016/2017",2017-04-02 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,11.9142857142857,3.6,6.2,100,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Overskyet",2017-04-02
29,17.04,NA,"VFF - SIF","VFF","SIF","0 - 0",4.26,"Jakob Kehlet",17.04,17,4,2016,2017,2017,2017-04-17,"2016/2017",2017-04-17 13:00:00,"2. Påskedag",TRUE,1,"Hverdag",13,"Eftermiddag",1,1,4.47142857142857,4.35,9,95.7142857142857,"Let regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2017-04-17
31,30.04,NA,"VFF - AaB","VFF","AaB","1 - 1",4.067,"Michael Tykgaard",30.04,30,4,2016,2017,2017,2017-04-30,"2016/2017",2017-04-30 13:00:00,"Ingen",FALSE,7,"Weekend",13,"Eftermiddag",0,0,11.7142857142857,5.7,10.8,50.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2017-04-30
33,12.05,NA,"VFF - ACH","VFF","ACH","3 - 0",3.02,"Michael Tykgaard",12.05,12,5,2016,2017,2017,2017-05-12,"2016/2017",2017-05-12 18:00:00,"Store bededag",TRUE,5,"Hverdag",18,"Aften",0,0,14.6428571428571,7.95,13.15,87.8571428571429,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2017-05-12
35,22.05,NA,"VFF - AGF","VFF","AGF","2 - 2",8.619,"Peter KjÃ¦rsgaard",22.05,22,5,2016,2017,2017,2017-05-22,"2016/2017",2017-05-22 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,18.5428571428571,3.35,6.7,6.42857142857143,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Solrigt",2017-05-22
2,27.07,NA,"VFF - AGF","VFF","AGF","0 - 0",6.318,"Michael Tykgaard",27.07,27,7,2015,2016,2015,2015-07-27,"2015/2016",2015-07-27 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,15.2857142857143,4.1,7.95,100,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Let vindstød","Overskyet",2015-07-27
3,31.07,NA,"VFF - EFB","VFF","EFB","2 - 1",3.557,"JÃ¸rgen Daugbjerg",31.07,31,7,2015,2016,2015,2015-07-31,"2015/2016",2015-07-31 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,14.5571428571429,7.45,12.35,91.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2015-07-31
5,16.08,NA,"VFF - BIF","VFF","BIF","0 - 4",7.747,"Anders Poulsen",16.08,16,8,2015,2016,2015,2015-08-16,"2015/2016",2015-08-16 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,22.2857142857143,3.6,6.45,100,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2015-08-16
8,12.09,NA,"VFF - FCN","VFF","FCN","0 - 1",3.254,"Kenn Hansen",12.09,12,9,2015,2016,2015,2015-09-12,"2015/2016",2015-09-12 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",0,0,17.7142857142857,6.2,11.05,57.8571428571429,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2015-09-12
10,25.09,NA,"VFF - AaB","VFF","AaB","1 - 0",5.137,"Peter Rasmussen",25.09,25,9,2015,2016,2015,2015-09-25,"2015/2016",2015-09-25 20:00:00,"Ingen",FALSE,5,"Hverdag",20,"Aften",0,0.5,12.2571428571429,3.1,5.65,8.57142857142857,"Ingen regn før kamp","Lidt regn i løbet af dag","Mildt","Svag vind","Let vindstød","Solrigt",2015-09-25
12,18.1,NA,"VFF - BIF","VFF","BIF","0 - 2",5.691,"Mads Kristoffersen",18.1,18,10,2015,2016,2015,2015-10-18,"2015/2016",2015-10-18 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,12.4142857142857,4.1,6.95,14.2857142857143,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Let vindstød","Solrigt",2015-10-18
13,24.1,NA,"VFF - EFB","VFF","EFB","4 - 2",3.495,"Jens Maae",24.1,24,10,2015,2016,2015,2015-10-24,"2015/2016",2015-10-24 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",0,0,11.2714285714286,4.1,7.45,100,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Let vindstød","Overskyet",2015-10-24
15,8.11,NA,"VFF - OB","VFF","OB","0 - 1",3.803,"Peter KjÃ¦rsgaard",8.11,8,11,2015,2016,2015,2015-11-08,"2015/2016",2015-11-08 13:30:00,"Ingen",FALSE,7,"Weekend",13,"Eftermiddag",0,0,12.8142857142857,4.1,7.2,18.5714285714286,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Let vindstød","Solrigt",2015-11-08
17,27.11,NA,"VFF - AGF","VFF","AGF","1 - 0",3.271,"JÃ¸rgen Daugbjerg",27.11,27,11,2015,2016,2015,2015-11-27,"2015/2016",2015-11-27 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,1.2,8.02857142857143,6.45,11.05,100,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2015-11-27
19,28.02,NA,"VFF - FCN","VFF","FCN","1 - 1",3.162,"Michael Tykgaard",28.02,28,2,2015,2016,2016,2016-02-28,"2015/2016",2016-02-28 13:00:00,"Ingen",FALSE,7,"Weekend",13,"Eftermiddag",0,0,5.41428571428571,0.5,2.6,0,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2016-02-28
21,12.03,NA,"VFF - SJF","VFF","SJF","0 - 0",3.167,"JÃ¸rgen Daugbjerg",12.03,12,3,2015,2016,2016,2016-03-12,"2015/2016",2016-03-12 16:00:00,"Ingen",FALSE,6,"Weekend",16,"Eftermiddag",0,0,4.44285714285714,1,3.1,0,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2016-03-12
24,8.04,NA,"VFF - FCM","VFF","FCM","1 - 1",7.502,"Anders Poulsen",8.04,8,4,2015,2016,2016,2016-04-08,"2015/2016",2016-04-08 18:00:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0.7,7.9,7.2,11.55,81.4285714285714,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2016-04-08
26,24.04,NA,"VFF - FCK","VFF","FCK","1 - 1",4.437,"Michael Johansen",24.04,24,4,2015,2016,2016,2016-04-24,"2015/2016",2016-04-24 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0.1,7.47142857142857,5.95,11.05,72.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2016-04-24
28,8.05,NA,"VFF - AaB","VFF","AaB","0 - 2",4.655,"Benjamin Svedborg",8.05,8,5,2015,2016,2016,2016-05-08,"2015/2016",2016-05-08 13:00:00,"Ingen",FALSE,7,"Weekend",13,"Eftermiddag",0,0,23.2857142857143,6.15,12.1,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2016-05-08
30,16.05,NA,"VFF - RFC","VFF","RFC","2 - 3",4.304,"Mads Kristoffersen",16.05,16,5,2015,2016,2016,2016-05-16,"2015/2016",2016-05-16 13:00:00,"2. Pinsedag",TRUE,1,"Hverdag",13,"Eftermiddag",0,0,14.2142857142857,6.45,11.3,30.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Let overskyet",2016-05-16
33,29.05,NA,"VFF - HOB","VFF","HOB","1 - 0",4.154,"Jens Maae",29.05,29,5,2015,2016,2016,2016-05-29,"2015/2016",2016-05-29 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0,0,20.7857142857143,5.4,9.05,81.4285714285714,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Overskyet",2016-05-29
1,20.07,NA,"VFF - RFC","VFF","RFC","2 - 2",4.771,"Michael Johansen",20.07,20,7,2013,2014,2013,2013-07-20,"2013/2014",2013-07-20 17:00:00,"Ingen",FALSE,6,"Weekend",17,"Aften",0,0,26.3857142857143,5.95,9.55,10,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2013-07-20
4,9.08,NA,"VFF - BIF","VFF","BIF","2 - 2",9.047,"Lars Christoffersen",9.08,9,8,2013,2014,2013,2013-08-09,"2013/2014",2013-08-09 18:30:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,20.4571428571429,4.6,8.2,NA,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød",NA,2013-08-09
6,25.08,NA,"VFF - EFB","VFF","EFB","3 - 1",5.166,"Jakob Kehlet",25.08,25,8,2013,2014,2013,2013-08-25,"2013/2014",2013-08-25 15:00:00,"Ingen",FALSE,7,"Weekend",15,"Eftermiddag",0,0,21.4428571428571,5.1,9.3,25,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2013-08-25
7,1.09,NA,"VFF - FCK","VFF","FCK","1 - 4",8.212,"Kenn Hansen",1.09,1,9,2013,2014,2013,2013-09-01,"2013/2014",2013-09-01 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0.8,9.8,12.9857142857143,6.2,10.85,90,"Let regn før kamp","Våd dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2013-09-01
10,27.09,NA,"VFF - FCV","VFF","FCV","2 - 0",4.532,"Kenn Hansen",27.09,27,9,2013,2014,2013,2013-09-27,"2013/2014",2013-09-27 18:30:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,12.9571428571429,3.1,5.1,NA,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød",NA,2013-09-27
13,25.1,NA,"VFF - FCV","VFF","FCV","4 - 1",4.221,"Peter KjÃ¦rsgaard",25.1,25,10,2013,2014,2013,2013-10-25,"2013/2014",2013-10-25 18:30:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,0,11.3857142857143,5.1,10.3,NA,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød",NA,2013-10-25
15,8.11,NA,"VFF - FCM","VFF","FCM","2 - 3",7.563,"Anders Poulsen",8.11,8,11,2013,2014,2013,2013-11-08,"2013/2014",2013-11-08 18:30:00,"Ingen",FALSE,5,"Hverdag",18,"Aften",0,1.8,6.82857142857143,2.6,4.6,NA,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød",NA,2013-11-08
17,30.11,NA,"VFF - SJF","VFF","SJF","2 - 2",3.478,"Lars Christoffersen",30.11,30,11,2013,2014,2013,2013-11-30,"2013/2014",2013-11-30 17:00:00,"Ingen",FALSE,6,"Weekend",17,"Aften",0,0,2.78571428571429,3.1,5.15,40,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Let overskyet",2013-11-30
19,23.02,NA,"VFF - RFC","VFF","RFC","1 - 1",4.546,"Kenn Hansen",23.02,23,2,2013,2014,2014,2014-02-23,"2013/2014",2014-02-23 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,8.34285714285714,6.95,13.4,100,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2014-02-23
21,9.03,NA,"VFF - EFB","VFF","EFB","1 - 3",3.834,"Dennis Mogensen",9.03,9,3,2013,2014,2014,2014-03-09,"2013/2014",2014-03-09 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,14.2857142857143,6.7,10.55,0,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2014-03-09
24,30.03,NA,"VFF - BIF","VFF","BIF","0 - 1",7.736,"Peter KjÃ¦rsgaard",30.03,30,3,2013,2014,2014,2014-03-30,"2013/2014",2014-03-30 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",0,0,14.1285714285714,1.5,4.35,1.42857142857143,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2014-03-30
25,6.04,NA,"VFF - OB","VFF","OB","2 - 2",4.079,"Mads Kristoffersen",6.04,6,4,2013,2014,2014,2014-04-06,"2013/2014",2014-04-06 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,13.1142857142857,4.6,7.95,100,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Let vindstød","Overskyet",2014-04-06
27,16.04,NA,"VFF - AaB","VFF","AaB","0 - 2",6.803,"Jakob Kehlet",16.04,16,4,2013,2014,2014,2014-04-16,"2013/2014",2014-04-16 20:00:00,"Ingen",FALSE,3,"Hverdag",20,"Aften",0,0,10.3142857142857,5.15,8.25,25.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Solrigt",2014-04-16
29,27.04,NA,"VFF - AGF","VFF","AGF","0 - 3",6.434,"Michael Tykgaard",27.04,27,4,2013,2014,2014,2014-04-27,"2013/2014",2014-04-27 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,19.2,5.15,9.8,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2014-04-27
31,8.05,NA,"VFF - FCK","VFF","FCK","0 - 2",4.701,"Jens Maae",8.05,8,5,2013,2014,2014,2014-05-08,"2013/2014",2014-05-08 18:00:00,"Ingen",FALSE,4,"Hverdag",18,"Aften",0,5.3,12.5428571428571,5.7,8.5,97.1428571428571,"Ingen regn før kamp","Våd dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2014-05-08
32,11.05,NA,"VFF - FCN","VFF","FCN","1 - 3",4.728,"Jakob Kehlet",11.05,11,5,2013,2014,2014,2014-05-11,"2013/2014",2014-05-11 17:00:00,"Ingen",FALSE,7,"Weekend",17,"Aften",2.8,8.3,11.1285714285714,3.35,7.2,100,"Let regn før kamp","Våd dag","Mildt","Svag vind","Let vindstød","Overskyet",2014-05-11
2,22.07,NA,"VFF - EFB","VFF","EFB","0 - 5",3.164,"Henning Jensen",22.07,22,7,2007,2008,2007,2007-07-22,"2007/2008",2007-07-22 14:00:00,"Ingen",FALSE,7,"Weekend",14,"Eftermiddag",0,0,18.0428571428571,2.05,4.05,91.4285714285714,"Ingen regn før kamp","Tør dag","Varmt","Svag vind","Let vindstød","Overskyet",2007-07-22
5,13.08,NA,"VFF - BIF","VFF","BIF","1 - 1",6.984,"Peter Rasmussen",13.08,13,8,2007,2008,2007,2007-08-13,"2007/2008",2007-08-13 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,2.4,19.1714285714286,6.2,10.3,7.14285714285714,"Ingen regn før kamp","Lidt regn i løbet af dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2007-08-13
6,19.08,NA,"VFF - ACH","VFF","ACH","2 - 1",4.259,"Thomas Vejlgaard",19.08,19,8,2007,2008,2007,2007-08-19,"2007/2008",2007-08-19 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,21.7285714285714,4.1,9.2,90,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Overskyet",2007-08-19
8,1.09,NA,"VFF - AGF","VFF","AGF","2 - 0",4.563,"Emil Laursen",1.09,1,9,2007,2008,2007,2007-09-01,"2007/2008",2007-09-01 17:00:00,"Ingen",FALSE,6,"Weekend",17,"Aften",0,0,15.4428571428571,6.2,11.35,87.8571428571429,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Mellem vindstød","Overskyet",2007-09-01
9,16.09,NA,"VFF - LBK","VFF","LBK","2 - 1",4.438,"Henrik Kragh",16.09,16,9,2007,2008,2007,2007-09-16,"2007/2008",2007-09-16 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,17.4428571428571,8.2,16.2,75.7142857142857,"Ingen regn før kamp","Tør dag","Mildt","Mellem vind","Kraftige vindstød","Overskyet",2007-09-16
12,6.1,NA,"VFF - BIF","VFF","BIF","1 - 2",6.655,"Claus Bo Larsen",6.1,6,10,2007,2008,2007,2007-10-06,"2007/2008",2007-10-06 17:00:00,"Ingen",FALSE,6,"Weekend",17,"Aften",0,0,14.1714285714286,0.5,0.8,11.4285714285714,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2007-10-06
15,5.11,NA,"VFF - OB","VFF","OB","0 - 2",3.059,"Michael Johansen",5.11,5,11,2007,2008,2007,2007-11-05,"2007/2008",2007-11-05 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0.8,2.2,8.84285714285714,5.1,10,91.4285714285714,"Let regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2007-11-05
16,12.11,NA,"VFF - AGF","VFF","AGF","0 - 2",4.61,"Henrik Kragh",12.11,12,11,2007,2008,2007,2007-11-12,"2007/2008",2007-11-12 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,-0.685714285714286,2.1,2.7,1.42857142857143,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Solrigt",2007-11-12
19,16.03,NA,"VFF - EFB","VFF","EFB","0 - 4",4.472,"Claus Bo Larsen",16.03,16,3,2007,2008,2008,2008-03-16,"2007/2008",2008-03-16 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,5.47142857142857,0.75,3.1,97.1428571428571,"Ingen regn før kamp","Tør dag","Koldt","Svag vind","Let vindstød","Overskyet",2008-03-16
20,20.03,NA,"VFF - FCN","VFF","FCN","2 - 3",2.952,"Jesper Overgaard",20.03,20,3,2007,2008,2008,2008-03-20,"2007/2008",2008-03-20 16:00:00,"Skærtorsdag",TRUE,4,"Hverdag",16,"Eftermiddag",0.4,0.6,2.32857142857143,5.1,9.3,94.2857142857143,"Let regn før kamp","Lidt regn i løbet af dag","Koldt","Mellem vind","Mellem vindstød","Overskyet",2008-03-20
22,31.03,NA,"VFF - FCK","VFF","FCK","2 - 3",5.314,"Anders Hermansen",31.03,31,3,2007,2008,2008,2008-03-31,"2007/2008",2008-03-31 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0.4,8.85714285714286,2.05,3.35,92.8571428571429,"Ingen regn før kamp","Lidt regn i løbet af dag","Koldt","Svag vind","Let vindstød","Overskyet",2008-03-31
24,14.04,NA,"VFF - ACH","VFF","ACH","1 - 3",3.671,"Emil Laursen",14.04,14,4,2007,2008,2008,2008-04-14,"2007/2008",2008-04-14 19:00:00,"Ingen",FALSE,1,"Hverdag",19,"Aften",0,0,8.26666666666667,5.1,8.2,20,"Ingen regn før kamp","Tør dag","Koldt","Mellem vind","Mellem vindstød","Solrigt",2008-04-14
25,20.04,NA,"VFF - FCM","VFF","FCM","1 - 1",4.742,"Michael Johansen",20.04,20,4,2007,2008,2008,2008-04-20,"2007/2008",2008-04-20 16:00:00,"Ingen",FALSE,7,"Weekend",16,"Eftermiddag",0,0,13.9,3.1,6.7,2.85714285714286,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2008-04-20
28,4.05,NA,"VFF - AaB","VFF","AaB","0 - 1",5.757,"Michael Svendsen",4.05,4,5,2007,2008,2008,2008-05-04,"2007/2008",2008-05-04 18:00:00,"Ingen",FALSE,7,"Weekend",18,"Aften",0,0,17.9857142857143,0.75,7.2,13.5714285714286,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2008-05-04
30,12.05,NA,"VFF - LBK","VFF","LBK","3 - 2",3.021,"Jesper Overgaard",12.05,12,5,2007,2008,2008,2008-05-12,"2007/2008",2008-05-12 16:00:00,"2. Pinsedag",TRUE,1,"Hverdag",16,"Eftermiddag",0,0,18.4571428571429,4.85,9.3,0,"Ingen regn før kamp","Tør dag","Varmt","Mellem vind","Mellem vindstød","Solrigt",2008-05-12
32,18.05,NA,"VFF - RFC","VFF","RFC","0 - 1",3.001,"Michael Svendsen",18.05,18,5,2007,2008,2008,2008-05-18,"2007/2008",2008-05-18 15:00:00,"Ingen",FALSE,7,"Weekend",15,"Eftermiddag",0,0,11.6,3.35,7.45,28.5714285714286,"Ingen regn før kamp","Tør dag","Mildt","Svag vind","Let vindstød","Solrigt",2008-05-18
